OMR Version,Policy # (masked),Odom Reading 1 (Previous),Odom Reading 1 (Update),Odom Reading 2 (Previous),Odom Reading 2 (Update),Odom Reading 3 (Previous),Odom Reading 3 (Update),Odom Reading 4 (Previous),Odom Reading 4 (Update)
Sign Top,1,896,39198,,,,,,
Sign Bottom,2,21396,63511,32659,47605,,,,
Sign Bottom,3,21340,37460,44998,59002,,,,
Sign Bottom,4,23912,59136,,,,,,
Sign Bottom,5,16862,59292,,,,,,
Sign Top,6,147738,167895,125820,164688,,,,
Sign Bottom,7,18780,49811,45402,54824,,,,
Sign Top,8,41930,80323,181416,229852,,,,
Sign Top,9,28993,63707,13291,28165,,,,
Sign Bottom,10,78382,127817,,,,,,
Sign Top,11,58500,81081,,,,,,
Sign Bottom,12,99417,149211,48770,95179,72620,115338,,
Sign Bottom,13,93231,98047,,,,,,
Sign Bottom,14,83443,105094,,,,,,
Sign Bottom,15,22008,26486,,,,,,
Sign Bottom,16,27950,59514,95883,126309,,,,
Sign Bottom,17,67589,100475,27617,74443,,,,
Sign Bottom,18,32753,76724,,,,,,
Sign Top,19,33044,70775,,,,,,
Sign Bottom,20,104857,109961,19548,47796,,,,
Sign Bottom,21,121699,137849,,,,,,
Sign Top,22,16094,45489,159167,200316,,,,
Sign Top,23,78182,122739,21730,37863,,,118250,166773
Sign Bottom,24,21735,58693,39666,77258,,,,
Sign Top,25,47473,68971,4502,47293,,,,
Sign Bottom,26,121416,123661,53987,86852,,,,
Sign Bottom,27,4616,30597,,,,,,
Sign Bottom,28,13604,31750,,,,,,
Sign Bottom,29,125000,139801,,,,,,
Sign Top,30,40463,70095,,,,,,
Sign Top,31,34823,78262,,,,,,
Sign Top,32,120296,137162,138617,169196,,,,
Sign Top,33,79173,125933,,,,,,
Sign Bottom,34,110372,142100,,,,,,
Sign Bottom,35,3586,41419,,,,,,
Sign Top,36,26017,60347,12996,17179,95278,115881,,
Sign Top,37,149000,177873,,,,,,
Sign Top,38,15939,17025,,,,,,
Sign Bottom,39,23949,27990,,,,,,
Sign Bottom,40,119260,143890,46277,62779,,,,
Sign Top,41,31600,33172,,,,,,
Sign Top,42,80000,96440,120000,140876,,,,
Sign Bottom,43,119420,162182,210631,258131,,,,
Sign Bottom,44,91532,119830,64925,67697,,,,
Sign Bottom,45,120927,130538,,,,,,
Sign Top,46,116843,143167,,,,,,
Sign Bottom,47,53962,98112,,,,,,
Sign Top,48,67059,105702,,,,,,
Sign Top,49,117216,118351,206109,235937,,,,
Sign Top,50,43792,91238,67545,85554,,,,
Sign Bottom,51,13781,54459,,,,,,
Sign Top,52,42064,49235,869,36912,,,,
Sign Bottom,53,145271,167129,,,,,,
Sign Top,54,58545,95608,,,,,,
Sign Top,55,26545,52377,60000,106312,,,,
Sign Top,56,50388,98369,,,,,,
Sign Top,57,108263,132557,32234,66701,,,,
Sign Top,58,40711,82311,,,,,,
Sign Top,59,105099,139843,,,,,,
Sign Top,60,37776,51717,,,,,,
Sign Bottom,61,189000,197565,,,,,,
Sign Top,62,144593,174019,,,,,,
Sign Top,63,94162,112348,,,,,,
Sign Top,64,78704,109065,,,17406,34540,,
Sign Bottom,65,59970,89440,64900,83080,,,,
Sign Bottom,66,86465,123221,,,,,,
Sign Top,67,15,5037,,,,,,
Sign Bottom,68,61791,94082,,,,,,
Sign Bottom,69,73000,90287,,,,,,
Sign Bottom,70,125683,163995,,,,,,
Sign Bottom,71,194677,198762,,,,,2827,39716
Sign Bottom,72,23929,30565,,,,,,
Sign Bottom,73,5551,12902,8982,50135,,,,
Sign Top,74,23,9378,51527,81330,,,,
Sign Top,75,140000,150928,55345,103321,,,,
Sign Top,76,45000,65534,3324,40014,,,,
Sign Bottom,77,14418,28096,,,,,,
Sign Top,78,15643,60317,,,168238,212633,,
Sign Bottom,79,73166,103756,,,,,,
Sign Top,80,62500,90815,,,,,,
Sign Bottom,81,42537,82832,55492,69884,,,,
Sign Bottom,82,49732,87637,,,,,,
Sign Top,83,4225,11848,,,,,,
Sign Top,84,68511,108435,,,,,,
Sign Bottom,85,121183,133548,,,,,,
Sign Top,86,108698,152103,47553,62436,,,,
Sign Top,87,29783,64198,,,,,,
Sign Top,88,96000,131817,,,,,,
Sign Top,89,24091,28451,,,,,,
Sign Bottom,90,55733,70102,,,,,,
Sign Top,91,127000,165152,,,,,,
Sign Top,92,130000,137606,14319,40239,,,,
Sign Top,93,75409,81093,,,,,,
Sign Top,94,39,35190,,,,,,
Sign Top,95,815,9489,,,,,,
Sign Bottom,96,61099,89389,30266,47067,,,,
Sign Bottom,97,101658,136696,38662,49410,,,119860,126644
Sign Top,98,140184,170694,,,,,,
Sign Bottom,99,36169,59997,36231,54636,,,,
Sign Bottom,100,41684,83436,,,,,,
Sign Top,101,65359,81621,,,,,,
Sign Top,102,167566,181690,63031,105802,,,,
Sign Bottom,103,276481,294755,103043,118247,,,120440,138477
Sign Bottom,104,5831,36253,,,,,,
Sign Bottom,105,186740,207838,,,,,,
Sign Top,106,25000,64152,,,,,,
Sign Top,107,87892,126909,,,,,,
Sign Bottom,108,69946,115257,1682,33743,,,,
Sign Bottom,109,56136,96505,,,,,,
Sign Top,110,50468,99285,,,,,,
Sign Top,111,601,6240,17457,59743,,,,
Sign Top,112,44668,67176,,,,,,
Sign Top,113,57316,76622,80956,89377,755,50290,,
Sign Top,114,61424,97120,,,,,,
Sign Bottom,115,111069,155135,,,,,,
Sign Top,116,91258,103454,145495,178663,,,,
Sign Bottom,117,160251,166627,67999,89508,,,,
Sign Bottom,118,20500,36127,30600,38388,,,,
Sign Top,119,0,20345,,,,,,
Sign Bottom,120,271738,281573,39993,52153,,,,
Sign Top,121,11241,38298,30,38925,,,,
Sign Bottom,122,43191,56235,,,,,,
Sign Bottom,123,16588,48888,68500,116503,134806,144835,,
Sign Bottom,124,54860,66734,,,,,,
Sign Bottom,125,209713,213965,,,,,,
Sign Top,126,96985,141240,7059,24873,,,,
Sign Top,127,73811,116476,,,,,,
Sign Top,128,94000,139018,,,,,,
Sign Top,129,59179,67495,5510,28503,,,,
Sign Top,130,0,19287,,,,,,
Sign Top,131,6830,8069,31229,56246,,,,
Sign Top,132,88737,103166,68830,92442,,,,
Sign Bottom,133,15883,53595,,,,,,
Sign Bottom,134,288120,297908,,,,,,
Sign Bottom,135,85430,102716,,,,,,
Sign Bottom,136,79651,115410,,,,,,
Sign Bottom,137,94055,111152,,,,,,
Sign Top,138,87122,106098,,,,,,
Sign Top,139,88030,137644,,,,,,
Sign Top,140,106250,121128,230160,271279,,,,
Sign Bottom,141,85754,94842,,,,,,
Sign Bottom,142,177719,212591,,,,,,
Sign Bottom,143,49013,68209,,,,,,
Sign Top,144,88658,99301,230415,232453,,,,
Sign Bottom,145,27229,34091,,,,,,
Sign Bottom,146,51767,89619,,,,,,
Sign Bottom,147,37638,70445,50381,83672,,,,
Sign Top,148,23701,55902,,,,,,
Sign Bottom,149,56800,65906,,,,,,
Sign Top,150,396,38222,,,,,,
Sign Bottom,151,398,18161,,,,,,
Sign Top,152,252045,273571,83125,120471,,,,
Sign Top,153,112557,127465,68828,112425,,,7479,31264
Sign Bottom,154,24130,34746,,,,,,
Sign Bottom,155,97695,122888,102000,126207,,,,
Sign Bottom,156,45443,85022,24492,72792,,,,
Sign Top,157,2,15341,,,,,,
Sign Top,158,153379,156774,,,,,,
Sign Top,159,80000,91432,70346,118859,,,,
Sign Top,160,94000,108311,,,,,,
Sign Top,161,228964,260720,393,42061,,,,
Sign Bottom,162,17851,37494,,,,,,
