Week Ending Date,Number of Deaths
2015-01-10,61889.0
2015-01-17,61273.0
2015-01-24,58754.0
2015-01-31,57407.0
2015-02-07,57474.0
2015-02-14,56751.0
2015-02-21,56788.0
2015-02-28,56435.0
2015-03-07,56602.0
2015-03-14,55844.0
2015-03-21,54567.0
2015-03-28,53498.0
2015-04-04,53316.0
2015-04-11,52919.0
2015-04-18,52972.0
2015-04-25,51709.0
2015-05-02,51597.0
2015-05-09,51776.0
2015-05-16,50808.0
2015-05-23,49495.0
2015-05-30,49942.0
2015-06-06,49350.0
2015-06-13,49902.0
2015-06-20,49227.0
2015-06-27,49174.0
2015-07-04,49357.0
2015-07-11,49048.0
2015-07-18,49366.0
2015-07-25,48759.0
2015-08-01,48825.0
2015-08-08,48448.0
2015-08-15,48285.0
2015-08-22,48570.0
2015-08-29,48636.0
2015-09-05,48849.0
2015-09-12,48932.0
2015-09-19,49045.0
2015-09-26,49399.0
2015-10-03,48993.0
2015-10-10,51191.0
2015-10-17,50145.0
2015-10-24,51018.0
2015-10-31,50569.0
2015-11-07,51288.0
2015-11-14,50834.0
2015-11-21,51917.0
2015-11-28,51590.0
2015-12-05,52160.0
2015-12-12,53846.0
2015-12-19,52379.0
2015-12-26,53313.0
2016-01-02,52746.0
2016-01-09,55989.0
2016-01-16,55710.0
2016-01-23,55318.0
2016-01-30,55769.0
2016-02-06,55238.0
2016-02-13,55582.0
2016-02-20,56279.0
2016-02-27,55308.0
2016-03-05,56033.0
2016-03-12,56323.0
2016-03-19,54670.0
2016-03-26,54922.0
2016-04-02,54043.0
2016-04-09,54173.0
2016-04-16,53601.0
2016-04-23,53257.0
2016-04-30,51166.0
2016-05-07,51374.0
2016-05-14,51107.0
2016-05-21,50555.0
2016-05-28,50587.0
2016-06-04,49820.0
2016-06-11,50026.0
2016-06-18,49998.0
2016-06-25,49720.0
2016-07-02,49846.0
2016-07-09,49795.0
2016-07-16,49734.0
2016-07-23,49378.0
2016-07-30,49800.0
2016-08-06,49640.0
2016-08-13,49833.0
2016-08-20,49924.0
2016-08-27,49608.0
2016-09-03,49695.0
2016-09-10,50200.0
2016-09-17,50037.0
2016-09-24,49990.0
2016-10-01,50365.0
2016-10-08,51518.0
2016-10-15,52245.0
2016-10-22,51568.0
2016-10-29,51969.0
2016-11-05,51876.0
2016-11-12,52649.0
2016-11-19,53568.0
2016-11-26,53264.0
2016-12-03,54716.0
2016-12-10,55262.0
2016-12-17,56128.0
2016-12-24,56854.0
2016-12-31,57772.0
2017-01-07,59893.0
2017-01-14,61112.0
2017-01-21,59435.0
2017-01-28,58176.0
2017-02-04,58534.0
2017-02-11,59157.0
2017-02-18,58588.0
2017-02-25,58377.0
2017-03-04,57354.0
2017-03-11,57591.0
2017-03-18,56774.0
2017-03-25,57164.0
2017-04-01,55823.0
2017-04-08,55264.0
2017-04-15,54969.0
2017-04-22,53164.0
2017-04-29,53394.0
2017-05-06,52749.0
2017-05-13,52076.0
2017-05-20,52574.0
2017-05-27,51093.0
2017-06-03,51360.0
2017-06-10,51514.0
2017-06-17,50919.0
2017-06-24,51316.0
2017-07-01,50738.0
2017-07-08,51086.0
2017-07-15,50118.0
2017-07-22,50224.0
2017-07-29,49488.0
2017-08-05,50207.0
2017-08-12,50354.0
2017-08-19,50291.0
2017-08-26,49658.0
2017-09-02,50954.0
2017-09-09,51103.0
2017-09-16,51817.0
2017-09-23,51349.0
2017-09-30,51460.0
2017-10-07,52237.0
2017-10-14,51696.0
2017-10-21,52358.0
2017-10-28,52674.0
2017-11-04,53830.0
2017-11-11,53396.0
2017-11-18,53907.0
2017-11-25,54225.0
2017-12-02,54900.0
2017-12-09,55741.0
2017-12-16,57535.0
2017-12-23,59671.0
2017-12-30,61246.0
2018-01-06,66315.0
2018-01-13,67669.0
2018-01-20,64811.0
2018-01-27,62923.0
2018-02-03,61124.0
2018-02-10,61246.0
2018-02-17,59931.0
2018-02-24,57941.0
2018-03-03,56828.0
2018-03-10,57220.0
2018-03-17,56457.0
2018-03-24,55912.0
2018-03-31,55039.0
2018-04-07,55415.0
2018-04-14,55346.0
2018-04-21,54150.0
2018-04-28,53840.0
2018-05-05,53868.0
2018-05-12,52215.0
2018-05-19,50739.0
2018-05-26,51053.0
2018-06-02,51158.0
2018-06-09,52123.0
2018-06-16,51508.0
2018-06-23,51221.0
2018-06-30,50989.0
2018-07-07,51809.0
2018-07-14,51335.0
2018-07-21,50729.0
2018-07-28,50412.0
2018-08-04,50795.0
2018-08-11,51129.0
2018-08-18,50420.0
2018-08-25,50578.0
2018-09-01,50742.0
2018-09-08,50430.0
2018-09-15,51214.0
2018-09-22,51708.0
2018-09-29,51085.0
2018-10-06,52481.0
2018-10-13,51970.0
2018-10-20,53108.0
2018-10-27,53875.0
2018-11-03,53763.0
2018-11-10,53691.0
2018-11-17,54819.0
2018-11-24,54975.0
2018-12-01,55207.0
2018-12-08,56094.0
2018-12-15,56526.0
2018-12-22,56667.0
2018-12-29,56167.0
2019-01-05,58464.0
2019-01-12,58507.0
2019-01-19,58356.0
2019-01-26,58034.0
2019-02-02,58277.0
2019-02-09,58652.0
2019-02-16,58117.0
2019-02-23,58134.0
2019-03-02,58077.0
2019-03-09,58670.0
2019-03-16,58023.0
2019-03-23,57215.0
2019-03-30,56775.0
2019-04-06,56716.0
2019-04-13,55627.0
2019-04-20,54587.0
2019-04-27,53772.0
2019-05-04,54123.0
2019-05-11,53603.0
2019-05-18,53678.0
2019-05-25,53822.0
2019-06-01,52859.0
2019-06-08,53292.0
2019-06-15,52792.0
2019-06-22,52420.0
2019-06-29,52318.0
2019-07-06,52502.0
2019-07-13,52071.0
2019-07-20,51793.0
2019-07-27,51802.0
2019-08-03,51542.0
2019-08-10,51850.0
2019-08-17,51122.0
2019-08-24,51143.0
2019-08-31,51286.0
2019-09-07,51954.0
2019-09-14,51742.0
2019-09-21,51912.0
2019-09-28,52872.0
2019-10-05,52679.0
2019-10-12,53220.0
2019-10-19,54440.0
2019-10-26,54151.0
2019-11-02,54207.0
2019-11-09,55803.0
2019-11-16,56038.0
2019-11-23,56315.0
2019-11-30,55598.0
2019-12-07,57418.0
2019-12-14,57778.0
2019-12-21,57579.0
2019-12-28,58622.0
2020-01-04,60171.0
2020-01-11,60734.0
2020-01-18,59362.0
2020-01-25,59159.0
2020-02-01,58830.0
2020-02-08,59478.0
2020-02-15,58813.0
2020-02-22,58910.0
2020-02-29,59331.0
2020-03-07,59697.0
2020-03-14,58670.0
2020-03-21,59220.0
2020-03-28,63025.0
2020-04-04,72292.0
2020-04-11,79094.0
2020-04-18,76806.0
2020-04-25,73911.0
2020-05-02,69296.0
2020-05-09,66813.0
2020-05-16,64481.0
2020-05-23,61627.0
2020-05-30,59683.0
2020-06-06,58910.0
2020-06-13,58028.0
2020-06-20,57997.0
2020-06-27,58505.0
2020-07-04,59822.0
2020-07-11,61944.0
2020-07-18,63176.0
2020-07-25,64243.0
2020-08-01,64236.0
2020-08-08,63717.0
2020-08-15,63643.0
2020-08-22,62569.0
2020-08-29,61108.0
2020-09-05,60246.0
2020-09-12,59664.0
2020-09-19,59738.0
2020-09-26,60614.0
2020-10-03,59808.0
2020-10-10,61778.0
2020-10-17,60644.0
2020-10-24,62190.0
2020-10-31,63428.0
2020-11-07,67588.0
2020-11-14,68824.0
2020-11-21,71681.0
2020-11-28,73304.0
2020-12-05,77427.0
2020-12-12,82007.0
2020-12-19,82936.0
2020-12-26,84369.0
2021-01-02,87031.0
2021-01-09,87068.0
2021-01-16,87413.0
2021-01-23,83696.0
2021-01-30,79197.0
2021-02-06,76526.0
2021-02-13,71513.0
2021-02-20,69513.0
2021-02-27,66739.0
2021-03-06,63696.0
2021-03-13,61883.0
2021-03-20,60371.0
2021-03-27,60811.0
2021-04-03,58699.0
2021-04-10,61019.0
2021-04-17,59145.0
2021-04-24,60254.0
2021-05-01,59831.0
2021-05-08,59010.0
2021-05-15,58481.0
2021-05-22,58755.0
2021-05-29,57336.0
2021-06-05,57457.0
2021-06-12,57155.0
2021-06-19,57258.0
2021-06-26,56924.0
2021-07-03,57524.0
2021-07-10,57213.0
2021-07-17,57210.0
2021-07-24,58433.0
2021-07-31,60349.0
2021-08-07,63795.0
2021-08-14,67043.0
2021-08-21,69955.0
2021-08-28,72202.0
2021-09-04,73519.0
2021-09-11,73755.0
2021-09-18,73312.0
2021-09-25,72182.0
2021-10-02,71346.0
2021-10-09,69133.0
2021-10-16,67547.0
2021-10-23,67086.0
2021-10-30,66477.0
2021-11-06,66645.0
2021-11-13,67460.0
2021-11-20,66960.0
2021-11-27,67967.0
2021-12-04,70180.0
2021-12-11,72145.0
2021-12-18,71333.0
2021-12-25,72340.0
2022-01-01,74443.0
2022-01-08,79861.0
2022-01-15,85124.0
2022-01-22,85733.0
2022-01-29,85120.0
2022-02-05,81387.0
2022-02-12,77317.0
2022-02-19,71064.0
2022-02-26,66221.0
2022-03-05,64570.0
2022-03-12,61927.0
2022-03-19,60654.0
2022-03-26,58665.0
2022-04-02,58152.0
2022-04-09,57943.0
2022-04-16,57932.0
2022-04-23,56803.0
2022-04-30,57405.0
2022-05-07,57569.0
2022-05-14,57997.0
2022-05-21,57783.0
2022-05-28,57194.0
2022-06-04,57699.0
2022-06-11,58180.0
2022-06-18,57937.0
2022-06-25,58433.0
2022-07-02,58248.0
2022-07-09,58302.0
2022-07-16,58597.0
2022-07-23,59930.0
2022-07-30,58918.0
2022-08-06,59342.0
2022-08-13,58765.0
2022-08-20,58602.0
2022-08-27,58414.0
2022-09-03,58238.0
2022-09-10,58823.0
2022-09-17,58393.0
2022-09-24,58881.0
2022-10-01,58682.0
2022-10-08,59699.0
2022-10-15,59864.0
2022-10-22,60241.0
2022-10-29,60189.0
2022-11-05,61206.0
2022-11-12,61213.0
2022-11-19,61799.0
2022-11-26,64785.0
2022-12-03,65941.0
2022-12-10,67221.0
2022-12-17,66571.0
2022-12-24,68137.0
2022-12-31,70362.0
2023-01-07,69131.0
2023-01-14,66491.0
2023-01-21,64319.0
2023-01-28,62556.0
2023-02-04,62892.0
2023-02-11,62950.0
2023-02-18,61838.0
2023-02-25,62155.0
2023-03-04,61418.0
2023-03-11,60835.0
2023-03-18,61107.0
2023-03-25,60804.0
2023-04-01,60228.0
2023-04-08,59407.0
2023-04-15,59998.0
2023-04-22,58832.0
2023-04-29,58163.0
2023-05-06,58423.0
2023-05-13,58171.0
2023-05-20,57034.0
2023-05-27,56141.0
2023-06-03,57196.0
2023-06-10,56639.0
2023-06-17,56672.0
2023-06-24,56151.0
2023-07-01,56092.0
2023-07-08,56296.0
2023-07-15,55922.0
2023-07-22,56015.0
2023-07-29,56049.0
2023-08-05,56403.0
2023-08-12,56939.0
2023-08-19,56616.0
2023-08-26,56161.0
2023-09-02,54985.0
2023-09-09,54650.0
2023-09-16,51036.0
