Year  Month        Temperature      Precipitation,Station,Year,Month,Temperature,Precipitation
1864      1               -5.5               20.6,Basel-Binningen,1864,1,-5.5,20.6
1864      2               -0.2               16.0,Basel-Binningen,1864,2,-0.2,16.0
1864      3                6.0               48.4,Basel-Binningen,1864,3,6.0,48.4
1864      4                8.2               49.0,Basel-Binningen,1864,4,8.2,49.0
1864      5               13.1               53.2,Basel-Binningen,1864,5,13.1,53.2
1864      6               15.3              139.9,Basel-Binningen,1864,6,15.3,139.9
1864      7               17.4               50.0,Basel-Binningen,1864,7,17.4,50.0
1864      8               16.1               59.4,Basel-Binningen,1864,8,16.1,59.4
1864      9               13.2               81.2,Basel-Binningen,1864,9,13.2,81.2
1864     10                7.1               10.2,Basel-Binningen,1864,10,7.1,10.2
1864     11                3.9               74.1,Basel-Binningen,1864,11,3.9,74.1
1864     12               -2.2                4.4,Basel-Binningen,1864,12,-2.2,4.4
1865      1                1.3               49.7,Basel-Binningen,1865,1,1.3,49.7
1865      2               -1.0               69.1,Basel-Binningen,1865,2,-1.0,69.1
1865      3                0.7               30.1,Basel-Binningen,1865,3,0.7,30.1
1865      4               12.9               11.7,Basel-Binningen,1865,4,12.9,11.7
1865      5               15.9               85.3,Basel-Binningen,1865,5,15.9,85.3
1865      6               16.2               67.1,Basel-Binningen,1865,6,16.2,67.1
1865      7               19.4               36.9,Basel-Binningen,1865,7,19.4,36.9
1865      8               16.4              122.1,Basel-Binningen,1865,8,16.4,122.1
1865      9               15.3                0.0,Basel-Binningen,1865,9,15.3,0.0
1865     10                9.8               99.3,Basel-Binningen,1865,10,9.8,99.3
1865     11                5.4               70.1,Basel-Binningen,1865,11,5.4,70.1
1865     12               -1.1               10.3,Basel-Binningen,1865,12,-1.1,10.3
1866      1                3.0               36.9,Basel-Binningen,1866,1,3.0,36.9
1866      2                5.2               70.7,Basel-Binningen,1866,2,5.2,70.7
1866      3                4.7               87.3,Basel-Binningen,1866,3,4.7,87.3
1866      4               10.1               90.9,Basel-Binningen,1866,4,10.1,90.9
1866      5               10.8               78.5,Basel-Binningen,1866,5,10.8,78.5
1866      6               18.2               44.8,Basel-Binningen,1866,6,18.2,44.8
1866      7               17.7               43.3,Basel-Binningen,1866,7,17.7,43.3
1866      8               15.6              144.8,Basel-Binningen,1866,8,15.6,144.8
1866      9               14.4               76.2,Basel-Binningen,1866,9,14.4,76.2
1866     10                9.0               28.2,Basel-Binningen,1866,10,9.0,28.2
1866     11                4.9               59.8,Basel-Binningen,1866,11,4.9,59.8
1866     12                3.3              128.9,Basel-Binningen,1866,12,3.3,128.9
1867      1               -0.2              140.9,Basel-Binningen,1867,1,-0.2,140.9
1867      2                5.7               66.9,Basel-Binningen,1867,2,5.7,66.9
1867      3                4.9               70.8,Basel-Binningen,1867,3,4.9,70.8
1867      4               10.0               92.5,Basel-Binningen,1867,4,10.0,92.5
1867      5               13.6               73.9,Basel-Binningen,1867,5,13.6,73.9
1867      6               16.1              140.6,Basel-Binningen,1867,6,16.1,140.6
1867      7               16.8               67.4,Basel-Binningen,1867,7,16.8,67.4
1867      8               18.0               48.8,Basel-Binningen,1867,8,18.0,48.8
1867      9               14.9               55.9,Basel-Binningen,1867,9,14.9,55.9
1867     10                7.6              102.4,Basel-Binningen,1867,10,7.6,102.4
1867     11                2.2               27.0,Basel-Binningen,1867,11,2.2,27.0
1867     12               -0.6               39.0,Basel-Binningen,1867,12,-0.6,39.0
1868      1               -1.5               38.7,Basel-Binningen,1868,1,-1.5,38.7
1868      2                3.0               10.6,Basel-Binningen,1868,2,3.0,10.6
1868      3                4.2               46.0,Basel-Binningen,1868,3,4.2,46.0
1868      4                8.7               65.3,Basel-Binningen,1868,4,8.7,65.3
1868      5               17.9               12.7,Basel-Binningen,1868,5,17.9,12.7
1868      6               17.8               70.2,Basel-Binningen,1868,6,17.8,70.2
1868      7               19.1               59.4,Basel-Binningen,1868,7,19.1,59.4
1868      8               18.1               77.8,Basel-Binningen,1868,8,18.1,77.8
1868      9               16.0              114.6,Basel-Binningen,1868,9,16.0,114.6
1868     10                9.3               96.4,Basel-Binningen,1868,10,9.3,96.4
1868     11                2.0               36.3,Basel-Binningen,1868,11,2.0,36.3
1868     12                7.1              136.2,Basel-Binningen,1868,12,7.1,136.2
1869      1                0.1               26.2,Basel-Binningen,1869,1,0.1,26.2
1869      2                5.9               18.1,Basel-Binningen,1869,2,5.9,18.1
1869      3                1.9               55.4,Basel-Binningen,1869,3,1.9,55.4
1869      4               10.8               32.5,Basel-Binningen,1869,4,10.8,32.5
1869      5               14.1              132.8,Basel-Binningen,1869,5,14.1,132.8
1869      6               13.9               57.2,Basel-Binningen,1869,6,13.9,57.2
1869      7               19.7               42.6,Basel-Binningen,1869,7,19.7,42.6
