Year  Month        Temperature      Precipitation,Station,Year,Month,Temperature,Precipitation
1864      1               -7.6               22.5,Bern-Liebefeld,1864,1,-7.6,22.5
1864      2               -1.8               26.5,Bern-Liebefeld,1864,2,-1.8,26.5
1864      3                3.9               57.1,Bern-Liebefeld,1864,3,3.9,57.1
1864      4                6.6               55.1,Bern-Liebefeld,1864,4,6.6,55.1
1864      5               12.1               68.5,Bern-Liebefeld,1864,5,12.1,68.5
1864      6               13.7              146.0,Bern-Liebefeld,1864,6,13.7,146.0
1864      7               17.3               43.4,Bern-Liebefeld,1864,7,17.3,43.4
1864      8               15.2               54.8,Bern-Liebefeld,1864,8,15.2,54.8
1864      9               12.1               49.9,Bern-Liebefeld,1864,9,12.1,49.9
1864     10                5.7               27.2,Bern-Liebefeld,1864,10,5.7,27.2
1864     11                2.0               47.8,Bern-Liebefeld,1864,11,2.0,47.8
1864     12               -4.7                5.1,Bern-Liebefeld,1864,12,-4.7,5.1
1865      1               -0.9               74.8,Bern-Liebefeld,1865,1,-0.9,74.8
1865      2               -3.0               49.8,Bern-Liebefeld,1865,2,-3.0,49.8
1865      3               -1.9               52.2,Bern-Liebefeld,1865,3,-1.9,52.2
1865      4               11.6               15.5,Bern-Liebefeld,1865,4,11.6,15.5
1865      5               14.4               69.6,Bern-Liebefeld,1865,5,14.4,69.6
1865      6               15.7               18.5,Bern-Liebefeld,1865,6,15.7,18.5
1865      7               18.6               78.6,Bern-Liebefeld,1865,7,18.6,78.6
1865      8               15.3              153.2,Bern-Liebefeld,1865,8,15.3,153.2
1865      9               15.3                0.6,Bern-Liebefeld,1865,9,15.3,0.6
1865     10                8.7               84.0,Bern-Liebefeld,1865,10,8.7,84.0
1865     11                3.0               67.6,Bern-Liebefeld,1865,11,3.0,67.6
1865     12               -3.1               25.3,Bern-Liebefeld,1865,12,-3.1,25.3
1866      1                1.6               43.9,Bern-Liebefeld,1866,1,1.6,43.9
1866      2                3.1              108.3,Bern-Liebefeld,1866,2,3.1,108.3
1866      3                3.0               73.8,Bern-Liebefeld,1866,3,3.0,73.8
1866      4                8.8               94.2,Bern-Liebefeld,1866,4,8.8,94.2
1866      5                9.4              111.6,Bern-Liebefeld,1866,5,9.4,111.6
